DATE,SP500
10/17/19,2997.95
10/18/19,2986.2
10/21/19,3006.72
10/22/19,2995.99
10/23/19,3004.52
10/24/19,3010.29
10/25/19,3022.55
10/28/19,3039.42
10/29/19,3036.89
10/30/19,3046.77
10/31/19,3037.56
11/1/19,3066.91
11/4/19,3078.27
11/5/19,3074.62
11/6/19,3076.78
11/7/19,3085.18
11/8/19,3093.08
11/11/19,3087.01
11/12/19,3091.84
11/13/19,3094.04
11/14/19,3096.63
11/15/19,3120.46
11/18/19,3122.03
11/19/19,3120.18
11/20/19,3108.46
11/21/19,3103.54
11/22/19,3110.29
11/25/19,3133.64
11/26/19,3140.52
11/27/19,3153.63
11/29/19,3140.98
12/2/19,3113.87
12/3/19,3093.2
12/4/19,3112.76
12/5/19,3117.43
12/6/19,3145.91
12/9/19,3135.96
12/10/19,3132.52
12/11/19,3141.63
12/12/19,3168.57
12/13/19,3168.8
12/16/19,3191.45
12/17/19,3192.52
12/18/19,3191.14
12/19/19,3205.37
12/20/19,3221.22
12/23/19,3224.01
12/24/19,3223.38
12/26/19,3239.91
12/27/19,3240.02
12/30/19,3221.29
12/31/19,3230.78
1/2/20,3257.85
1/3/20,3234.85
1/6/20,3246.28
1/7/20,3237.18
1/8/20,3253.05
1/9/20,3274.7
1/10/20,3265.35
1/13/20,3288.13
1/14/20,3283.15
1/15/20,3289.29
1/16/20,3316.81
1/17/20,3329.62
1/21/20,3320.79
1/22/20,3321.75
1/23/20,3325.54
1/24/20,3295.47
1/27/20,3243.63
1/28/20,3276.24
